month,site,job_family,open_positions,time_to_fill_days,offer_acceptance_rate
2023-01-01,Madrid,Finance,32,100,1.1858787880804385
2025-08-01,Berlin,Finance,30,175,0.5086547754791798
2023-01-01,PARIS,IT ,11,230,0.18417724330416765
2023-07-01,Lyon,IT ,22,234,0.7520041643166185
2024-02-01,Madrid,HR,24,156,1.434426093447654
2024-06-01,Madrid,IT ,28,262,0.9214662184176835
2024-01-01,lyon,HR,32,79,1.2092194269032175
2025-01-01,BERLIN,HR,17,57,1.563940134172641
2024-01-01,Paris,finance,40,1,1.1578449346375075
2025-12-01,lyon,Operations,43,76,0.1161395295166316
2024-05-01,Lyon,Finance,11,183,0.15827974681794132
2025-06-01,BERLIN,IT ,35,244,0.13773567111711368
2024-05-01,Lyon,IT,3,201,0.608103967364899
2023-10-01,Madrid,HR,12,-2,0.4889515677547969
2024-04-01,PARIS,HR,30,192,0.18644752999688424
2025-10-01,Paris,Finance,21,-18,0.665992011503181
2024-11-01,Paris,Finance,45,176,0.32925567688246216
2024-03-01,Lyon,IT ,36,290,0.6557633530271874
2023-07-01,lyon,IT ,38,-10,0.7553989056830592
2025-11-01,Madrid,HR,29,238,0.008530526877034872
2024-06-01,BERLIN,Operations,33,249,1.1848642099957416
2024-03-01,Berlin,finance,30,166,0.6319335919290728
2024-12-01,BERLIN,IT,5,205,1.3213560683822565
2023-09-01,Paris,IT,25,-7,0.1947815614731935
2023-09-01,lyon,HR,48,201,0.49394762510722806
2025-09-01,lyon,Finance,44,282,0.45802568313560155
2025-10-01,Berlin,finance,12,109,0.01701938027602675
2024-11-01,Lyon,HR,28,137,0.8153256898376573
2025-08-01,Madrid,HR,49,161,1.6382155476964653
2024-09-01,Madrid,IT,25,175,0.02352326746607325
2024-10-01,BERLIN,finance,38,175,1.0564830524542266
2023-02-01,PARIS,HR,21,112,1.4564257988055003
2023-09-01,Madrid,finance,3,-5,1.3476035143822613
2025-02-01,Lyon,HR,34,147,0.4886496277913781
2024-08-01,Berlin,Finance,4,235,0.29762842580590443
2024-03-01,lyon,Operations,27,219,0.36433010080546513
2025-12-01,Paris,IT,20,239,0.5889923634850469
2024-09-01,lyon,Operations,8,104,0.17557820788087414
2024-03-01,Paris,finance,9,72,0.46450348614765247
2024-11-01,PARIS,Finance,39,184,0.3889859494666847
2023-05-01,BERLIN,IT ,32,102,1.651979067210775
2025-10-01,PARIS,finance,39,113,1.1397851982929892
2024-12-01,Berlin,finance,42,118,1.0654136252629425
2025-02-01,PARIS,finance,4,-15,1.503426596869346
2023-08-01,Berlin,HR,8,-15,0.298915755597393
2023-08-01,Berlin,Operations,16,-18,0.1220047864656883
2023-06-01,BERLIN,HR,32,81,1.4928050017095937
2025-02-01,lyon,HR,16,63,0.5988605675929032
2025-10-01,Lyon,IT,5,25,0.6543683029679443
2025-03-01,Madrid,Operations,26,43,0.05202269525795313
2024-03-01,BERLIN,finance,26,216,0.02562375241291175
2024-06-01,Berlin,IT ,45,110,1.1879102814072016
2023-02-01,Berlin,IT,13,23,1.0952049793629073
2025-01-01,Berlin,HR,4,281,0.48118091636334853
2023-09-01,Paris,Operations,16,150,0.36340050786764333
2024-04-01,Lyon,Operations,3,207,1.3573038056955715
2023-05-01,Berlin,IT,40,239,0.1380609947344056
2025-01-01,Madrid,IT ,6,256,1.0665394163143844
2024-11-01,BERLIN,IT,36,-1,0.17134379873391384
2023-04-01,Paris,IT ,13,297,1.6632430071699997
2025-07-01,lyon,IT,12,293,1.6714051390528173
2024-07-01,BERLIN,Operations,28,259,0.46434220275296456
2023-08-01,Paris,HR,48,6,1.0818654852773086
2025-12-01,lyon,IT ,33,246,0.027978452645405938
2024-05-01,Madrid,Operations,33,26,0.5625461814215083
2023-05-01,Lyon,IT ,37,109,0.40345190911065554
2024-07-01,Paris,IT ,38,-16,0.498066075639721
2024-04-01,Madrid,IT ,47,21,0.7003156013593292
2023-11-01,PARIS,finance,24,26,0.7080439585100737
2023-02-01,Berlin,IT,34,67,0.6669295762612683
2023-05-01,Berlin,finance,19,137,1.3982326264992901
2025-11-01,Berlin,IT ,30,156,0.09486455406936967
2024-05-01,Lyon,finance,45,0,0.5510131283541425
2024-03-01,Berlin,HR,43,224,0.04153596144230432
2024-11-01,PARIS,IT ,24,74,0.1372036254797743
2024-06-01,Berlin,IT,28,212,1.3457032023410522
2023-03-01,PARIS,IT ,49,206,0.2806697768601458
2025-10-01,Lyon,IT,49,207,0.5892428656427743
2024-12-01,Paris,Operations,45,128,1.4210188161726771
2023-02-01,Madrid,HR,33,148,1.1970998380634108
2024-08-01,Lyon,IT,9,159,0.3432227055149109
2023-08-01,BERLIN,Finance,18,215,1.68565215889208
2025-04-01,Paris,Finance,38,292,0.45493219735814283
2023-09-01,Berlin,Operations,10,89,0.48439674519704046
2025-06-01,Berlin,IT ,39,18,1.1081874008732522
2023-11-01,BERLIN,HR,39,176,1.2090890172872824
2024-09-01,Lyon,finance,35,85,0.993989355602217
2024-03-01,Lyon,Operations,22,149,0.27585595471578206
2025-03-01,Berlin,IT ,43,162,0.1289027624039434
2025-02-01,Paris,Operations,37,199,1.586033438345673
2024-10-01,PARIS,IT ,24,43,0.591506151657031
2023-07-01,lyon,IT ,43,134,1.442274505059773
2023-04-01,Paris,Finance,48,202,0.29185787553075304
2023-03-01,lyon,Operations,44,126,0.8611033970633637
2025-01-01,lyon,IT ,20,145,1.4920592348280968
2024-09-01,Lyon,finance,37,147,0.6498536798657613
2024-12-01,Paris,HR,26,212,0.027763950545911652
2023-01-01,Paris,HR,1,114,1.6043300190868768
2023-07-01,PARIS,Operations,5,128,1.079615868581547
2025-01-01,lyon,IT,34,8,0.37009346976474883
2023-05-01,PARIS,finance,8,231,1.2903724991634888
2023-12-01,Madrid,Finance,19,120,0.4160106206932583
2025-12-01,BERLIN,finance,32,276,0.12519871020714654
2024-08-01,lyon,Finance,46,289,0.02468042066781547
2023-12-01,PARIS,HR,28,273,0.012140454665251032
2025-04-01,PARIS,Finance,26,147,0.18089465100574595
2024-07-01,lyon,Operations,0,270,0.7601179774721741
2023-07-01,Berlin,IT,12,163,1.649822007066647
2023-04-01,Berlin,finance,2,145,0.8615007497770955
2024-11-01,PARIS,Operations,0,18,0.39545453729819013
2025-05-01,Madrid,HR,19,136,1.3365836534839002
2025-11-01,Paris,Finance,39,3,1.4023060755750314
2024-04-01,Madrid,Operations,25,226,1.0282715803109728
2024-06-01,lyon,IT,11,23,0.5999850123724633
2025-07-01,Lyon,finance,5,-19,0.6901769274720572
2025-12-01,Berlin,IT ,49,156,1.1642763253428483
2023-11-01,Berlin,Finance,8,49,0.2650289536274265
2024-11-01,lyon,Finance,35,37,0.1776800391564239
2024-11-01,BERLIN,IT ,19,191,0.4570572614727163
2023-12-01,BERLIN,Finance,9,269,1.099037176359341
2023-03-01,Berlin,Operations,9,206,0.6195880673317895
2024-08-01,Berlin,finance,30,254,0.27696778452415804
2024-11-01,Paris,finance,19,72,1.0044551344470127
2025-11-01,Madrid,HR,24,22,0.755350916370075
2025-09-01,Berlin,Finance,44,287,1.2378822686325082
2023-02-01,PARIS,HR,30,230,1.2093247847107562
2024-12-01,PARIS,HR,46,98,1.599686003868051
2024-07-01,Lyon,finance,40,237,1.1647639324517607
2025-01-01,Madrid,Operations,8,67,1.1944916468665214
2023-05-01,PARIS,finance,40,62,0.22945036668142926
2023-10-01,lyon,IT ,48,124,0.26597009692022955
2025-05-01,PARIS,finance,23,70,1.2913555639839478
2023-08-01,BERLIN,Finance,3,59,1.202162743167981
2024-06-01,Berlin,IT,36,253,0.3820810962036593
2025-05-01,Paris,Finance,44,160,0.35264306149196273
2024-01-01,Madrid,Operations,23,62,0.32669492689062024
2025-09-01,PARIS,Operations,13,20,0.32489419904419475
2023-01-01,PARIS,IT ,7,219,0.0822601661768856
2024-06-01,Paris,HR,48,205,1.1805204257925017
2024-04-01,BERLIN,IT,26,288,0.8064077182109429
2024-12-01,Berlin,Finance,41,278,0.09372293106677325
2025-06-01,PARIS,IT,29,16,0.9151123635795352
2023-06-01,Lyon,HR,49,10,0.0787752721524104
2025-11-01,Berlin,HR,13,127,1.0866675305449611
2025-01-01,BERLIN,IT,39,50,1.1785518357716058
2024-06-01,Madrid,Operations,39,87,1.2678821956654032
2023-05-01,BERLIN,HR,17,30,0.8692473207411638
2023-11-01,PARIS,finance,12,17,1.2008352963236701
2025-11-01,lyon,Finance,28,216,1.187462288672637
2023-10-01,PARIS,IT,27,151,1.4242873503122713
2024-06-01,Berlin,HR,47,29,1.1626259182782765
2024-11-01,Lyon,Operations,49,115,0.06799447496036055
2024-12-01,Berlin,IT,3,289,0.3770250988192681
2025-08-01,Berlin,Operations,26,275,0.6005688807457494
2025-09-01,lyon,Finance,35,26,0.31526235452605095
2023-08-01,Berlin,IT ,23,-17,1.2706484306773036
2024-03-01,Lyon,IT,23,187,0.46831553481176513
2025-08-01,Paris,Finance,2,283,0.8912072212646847
2025-07-01,lyon,Operations,44,91,0.51932423383778
2023-04-01,lyon,Operations,18,51,1.154263847656335
2024-02-01,Lyon,Operations,38,80,1.1484869090204073
2024-02-01,Lyon,IT,48,188,1.6534576506703398
2024-01-01,Paris,Finance,8,8,1.0418901115626424
2025-07-01,lyon,Operations,21,170,1.4110747484700203
2024-06-01,Berlin,Operations,21,49,1.2337963252834727
2024-08-01,lyon,IT ,15,72,0.019519940606659226
2024-12-01,Berlin,Finance,7,16,0.46608053161870616
2024-04-01,BERLIN,finance,16,225,0.08945499557135358
2023-11-01,Berlin,Finance,47,122,0.048307431153409915
2024-10-01,lyon,IT ,36,110,1.0015660726103037
2025-12-01,lyon,Operations,26,54,0.32122613648120685
2024-04-01,Paris,HR,34,40,1.0179879804789114
2023-03-01,PARIS,finance,34,272,0.6346478841730219
2024-02-01,lyon,Operations,13,295,1.5861924191727028
2025-11-01,Madrid,HR,42,121,0.33054710038200347
2024-07-01,Paris,finance,40,225,0.8586963283388498
2023-11-01,Berlin,Operations,21,-1,0.7912847469660562
2025-10-01,BERLIN,Finance,21,285,0.4676170040255611
2024-02-01,PARIS,finance,10,252,0.6433611143537927
2023-02-01,Lyon,Finance,31,76,0.0931110636228375
2024-02-01,Berlin,HR,26,162,0.07332682310579482
2025-02-01,Berlin,IT,19,142,0.10695314488252264
2024-01-01,BERLIN,IT,45,19,1.1187230918571927
2024-07-01,PARIS,Operations,33,119,0.18350245692620448
2024-02-01,Lyon,IT ,18,141,0.6973034261160359
2025-01-01,Madrid,Operations,9,105,0.8273297765645655
2023-11-01,Paris,HR,12,213,0.7776891617901452
2025-11-01,PARIS,HR,27,278,0.05292129780878888
2025-10-01,BERLIN,Finance,7,227,0.5766070338123799
2023-04-01,Lyon,Operations,21,10,1.6451910318042515
2025-09-01,lyon,IT ,27,158,0.9717181915831644
2023-10-01,Madrid,Operations,15,99,0.621860685431331
2024-11-01,Madrid,Operations,16,158,1.180228495094227
2023-08-01,Paris,Operations,39,243,0.5496766600270755
2023-12-01,Paris,IT,41,106,1.3120179994979824
2024-06-01,Paris,IT ,48,-16,0.7479945978344749
2023-03-01,BERLIN,Operations,39,25,1.3220549988956738
2023-04-01,Paris,IT,18,146,1.311071070890455
2024-09-01,lyon,Operations,48,21,0.5674605780728449
2023-09-01,Madrid,IT ,37,64,0.6297520181212972
2025-04-01,lyon,Finance,17,255,0.8224535202810953
2024-03-01,Paris,IT,36,169,1.0176065132530778
2025-03-01,PARIS,HR,28,49,1.629492144540731
2023-04-01,BERLIN,HR,14,-5,1.142678897956414
2025-02-01,BERLIN,IT,20,14,0.5265398929728887
2023-02-01,Lyon,HR,6,281,1.166575315215261
2024-09-01,PARIS,HR,35,44,0.3014960070272195
2024-06-01,Madrid,HR,47,132,0.8872754109323878
2023-02-01,Madrid,IT ,21,82,0.856293153515454
2023-07-01,lyon,finance,36,-18,0.22567691328315773
2024-08-01,Lyon,HR,5,238,0.8747464644847757
2024-04-01,Paris,Finance,39,-3,1.2172180764271205
2024-02-01,Paris,IT ,13,145,0.8388848150977221
2025-08-01,PARIS,IT,16,167,0.6807604034118959
2024-03-01,BERLIN,Operations,0,127,1.1223903553675332
2025-06-01,Lyon,finance,43,187,0.8355862799293996
2023-07-01,lyon,IT,1,-8,0.5731283251582747
2024-12-01,Paris,IT ,41,53,0.7581313876726897
2024-05-01,Madrid,HR,44,46,0.13259881590320818
2024-05-01,Paris,Operations,37,56,1.3806819879067562
2023-05-01,Lyon,Operations,45,207,0.583436027756318
2023-01-01,Berlin,finance,48,86,1.0518785364756436
2024-09-01,Madrid,Operations,35,176,0.9460946223486518
2025-06-01,lyon,finance,49,213,0.31932628744608454
2023-04-01,Paris,finance,20,-8,0.6010834207561758
2023-05-01,Madrid,IT ,4,2,1.6409988454706774
2024-09-01,lyon,IT,19,30,1.2508733127288678
2024-08-01,Lyon,Finance,40,150,0.6991740467958347
2024-08-01,Berlin,Operations,21,94,1.5200531871249057
2024-05-01,lyon,IT,39,118,0.9966076576061864
2023-09-01,lyon,IT,22,97,1.4389176326879716
2025-08-01,Madrid,Finance,0,69,0.8936805305977013
2024-11-01,Paris,Finance,12,181,1.5834707562580748
2024-08-01,Madrid,IT ,23,0,1.4209472420389504
2023-09-01,BERLIN,Finance,24,269,0.1359217597877906
2025-02-01,PARIS,Finance,42,60,1.161038156452206
2024-05-01,Madrid,Operations,27,-19,0.757708135275098
2024-08-01,Madrid,IT,3,-2,0.2563091367277047
2025-07-01,BERLIN,Finance,22,261,1.3617175014966227
2024-06-01,Paris,HR,48,207,0.8334147550682993
2024-09-01,BERLIN,IT ,3,242,0.3436591631485791
2025-03-01,Berlin,Finance,39,252,0.5524955092306197
2025-02-01,Lyon,Finance,33,81,0.28557391150791367
2024-03-01,PARIS,Finance,19,238,1.042234023106693
2025-07-01,Paris,Finance,16,219,1.0800625260962993
2024-07-01,Berlin,IT ,29,168,0.500750758152821
2023-04-01,Paris,Operations,27,286,0.4719291169745103
2023-07-01,BERLIN,Operations,23,168,0.18854811788357803
2024-05-01,lyon,IT ,47,210,1.657985607564866
2023-10-01,PARIS,Finance,30,143,0.5343236961504794
2024-02-01,lyon,IT,31,-13,1.0183795077459472
2024-06-01,lyon,finance,37,56,0.3212970532153843
2023-09-01,Paris,Finance,28,69,1.2245636882503417
2024-04-01,BERLIN,IT,6,158,1.122585986882687
2023-09-01,Lyon,finance,14,-14,0.2095172919249067
2023-11-01,Paris,HR,44,58,0.030534696233605683
2025-03-01,BERLIN,Operations,5,147,0.03726993645871559
2025-06-01,Madrid,Operations,16,-16,0.4912593176209306
2024-02-01,Lyon,IT,32,92,0.6989029928002073
2024-02-01,BERLIN,HR,43,248,1.697934948056009
2025-05-01,PARIS,Operations,0,229,1.632168009294377
2023-11-01,Lyon,HR,2,295,0.2688098223854772
2024-03-01,PARIS,Operations,12,259,1.1152284427130912
2024-02-01,lyon,IT,10,197,0.38785695845851653
2025-03-01,Paris,Operations,11,91,0.04496326798110273
2023-03-01,Paris,Operations,17,210,1.0768888009032576
2023-12-01,Madrid,IT,39,194,0.3031935430049858
2024-02-01,Paris,IT ,15,260,0.5275259815584855
2024-05-01,Lyon,IT ,32,249,0.4177755196930194
2024-05-01,Madrid,Operations,40,212,0.35830925943335074
2025-10-01,BERLIN,IT ,3,235,0.05526924028631468
2025-06-01,BERLIN,Finance,23,105,1.3103332130886634
2024-11-01,Paris,IT ,35,142,0.4369672992727023
2025-12-01,Madrid,HR,46,148,1.6658021991152794
2025-01-01,Paris,Finance,45,138,1.6799049837092639
2025-08-01,BERLIN,IT ,43,214,1.4801913843406773
2024-11-01,BERLIN,Finance,6,31,1.536105558327766
2024-04-01,Paris,finance,8,150,0.0703727841144888
2025-08-01,Berlin,Finance,36,0,1.1680354384664047
2023-10-01,lyon,IT ,18,134,0.1755927754931099
2025-10-01,Berlin,HR,28,25,0.7412553774458239
2025-09-01,Paris,HR,5,265,0.7894277495617832
2025-04-01,Paris,Finance,35,22,0.07193861285233442
2023-07-01,Lyon,IT ,21,168,0.6602199657722955
2023-02-01,PARIS,HR,21,237,0.48056257587188167
2025-11-01,Lyon,finance,37,-8,1.0038245383276854
2023-07-01,Madrid,IT ,42,235,0.7610472688967251
2024-01-01,BERLIN,IT ,2,12,1.056107237355052
2023-03-01,Madrid,Operations,24,270,0.003548414091394092
2025-01-01,Paris,Operations,13,112,1.3152798248861002
2023-07-01,Paris,Operations,4,36,0.8671202737584714
2025-03-01,lyon,finance,17,16,0.2815048964089652
2024-10-01,Paris,IT ,27,65,0.6812585066724921
2025-04-01,Lyon,finance,29,208,0.5808365705327475
2023-05-01,Lyon,IT,35,194,1.4580207132441771
2023-02-01,Lyon,IT ,5,276,1.408416394402544
2025-12-01,Lyon,HR,30,139,0.2711801354362005
2024-12-01,PARIS,HR,17,49,1.4401647380328542
2025-08-01,Berlin,HR,24,199,1.0350784302371727
2024-10-01,Lyon,IT,33,-17,0.4251065418266155
2023-06-01,Lyon,Finance,7,152,1.5835904442809126
2024-11-01,Madrid,IT ,27,244,0.6312825487088827
2024-02-01,Berlin,Operations,6,151,1.3483214850886744
2024-03-01,Berlin,HR,33,90,1.1398816910346035
2023-06-01,BERLIN,finance,24,245,1.3529656664330452
2024-10-01,BERLIN,HR,0,219,0.16042711033689394
2024-12-01,BERLIN,Finance,42,152,0.3544631477492291
2024-02-01,Madrid,Finance,1,-3,1.2138154332237368
2025-01-01,Madrid,Finance,33,49,0.2501547034472959
2025-03-01,Berlin,IT ,31,198,1.2763671056370176
2024-02-01,Berlin,HR,11,253,0.5218872628584776
2024-09-01,Paris,IT,43,54,1.025115951644899
2024-05-01,Madrid,IT,25,158,0.6218660413172131
2024-02-01,BERLIN,Finance,21,61,1.0198554568136402
2025-09-01,Paris,IT,42,26,1.0545255469023145
2023-09-01,Madrid,IT ,30,250,0.7379404922452087
2024-06-01,Lyon,IT,32,225,1.5801950882855231
2023-11-01,Madrid,Finance,21,-13,1.6525322024441167
2025-05-01,BERLIN,IT,47,122,1.5398904282575054
2023-05-01,lyon,HR,7,70,1.2495460541639911
2024-12-01,Paris,IT ,15,-15,0.20996481336378378
2023-05-01,Lyon,IT ,27,256,1.5765238028401944
2023-10-01,Berlin,IT ,13,-17,1.0824541581594098
2023-02-01,BERLIN,HR,3,182,0.16605354520376508
2024-11-01,Lyon,finance,23,256,1.1258496170507677
2025-08-01,BERLIN,HR,18,84,0.6036705224430419
2023-01-01,Lyon,HR,24,66,1.5377252053908186
2025-08-01,Berlin,Operations,46,204,1.2145881627805497
2024-06-01,Madrid,IT ,47,222,1.0409351633156496
2024-04-01,Paris,finance,16,86,0.38806770750244846
2024-04-01,Lyon,Finance,35,172,1.4445306716940347
2024-12-01,Lyon,IT,1,11,1.5677056688255906
2024-07-01,Madrid,Operations,44,141,1.0725853755582804
2023-01-01,Berlin,IT,26,207,1.5271904893265278
2023-11-01,Lyon,IT,41,206,0.31424128863962975
2024-07-01,BERLIN,HR,7,49,0.8222606507495946
2023-05-01,Berlin,Operations,36,-10,0.22031255109135814
2024-09-01,Lyon,Finance,4,296,1.2754540327005859
2024-08-01,Berlin,IT,45,198,0.724074925009833
2024-06-01,PARIS,IT,3,293,1.5455376550394142
2025-10-01,Madrid,Operations,5,-17,1.5627862926244782
2024-11-01,PARIS,Finance,28,113,0.8956111688461286
2024-07-01,Berlin,Finance,7,167,0.17207750017506707
2023-10-01,PARIS,finance,47,146,0.594702299603991
2025-10-01,BERLIN,Finance,9,276,1.53577824934934
2024-09-01,Madrid,IT,34,35,0.9045634969710113
2024-03-01,Lyon,HR,9,66,0.21579147653137
2024-10-01,Lyon,Operations,45,162,0.11675352074124751
2024-05-01,Paris,Finance,15,140,1.5979321439513734
2023-07-01,Paris,finance,11,130,1.2652813655359145
2025-01-01,Berlin,HR,24,132,1.0063200745865872
2024-10-01,Madrid,Finance,14,269,0.08359996949518096
2023-10-01,BERLIN,IT,13,135,1.133200834655388
2024-04-01,lyon,Finance,5,138,1.5899809967233163
2024-01-01,PARIS,finance,35,252,0.65594116182929
2025-11-01,Berlin,IT,2,253,1.3126332840700323
2025-06-01,Madrid,Operations,44,201,1.2779750615505987
2023-05-01,Lyon,IT,26,287,1.3395928584507915
2023-06-01,PARIS,Finance,16,194,0.6791387073743121
2024-08-01,Paris,finance,24,43,1.096130155692352
2023-06-01,PARIS,IT ,47,163,0.14335031494174896
2023-05-01,Paris,finance,34,27,0.39822643281424475
