month,site,job_family,team_id,headcount_actual,headcount_planned,voluntary_leavers,engagement_score_avg,training_hours_avg,absenteeism_rate,critical_skill_coverage_rate
2024-03-01,PARIS,IT ,182,33,47,25,33,52,0.12385087360888236,1.2010283710408431
2023-03-01,Lyon,IT ,116,91,53,5,65,66,0.0860353391153239,0.03898340727458205
2023-07-01,PARIS,Operations,220,9,143,16,100,63,-0.10537044782719708,0.6543603600603027
2024-09-01,BERLIN,Operations,186,98,157,15,134,43,0.02758080302959548,1.488080618134163
2023-09-01,PARIS,HR,139,167,91,38,49,8,0.02356286258906584,1.148618645232981
2024-06-01,PARIS,HR,277,77,155,50,112,-1,0.1890078969117831,0.6752797555015264
2023-04-01,Berlin,IT ,172,164,143,25,88,26,0.15934297495615646,0.14706064107260736
2025-01-01,Berlin,Operations,128,36,50,3,92,66,-0.164173382077813,0.5387738538074354
2024-02-01,BERLIN,Finance,278,189,160,19,3,6,0.30908808370984503,0.23164314955597626
2023-09-01,BERLIN,Operations,141,40,152,55,134,44,0.36252863803651386,1.3811684042616725
2025-02-01,Berlin,HR,128,172,17,48,63,-6,0.26812502897383467,1.028466575380909
2023-02-01,PARIS,Operations,165,195,125,55,77,10,-0.09296937213511225,1.2835462766772952
2024-08-01,Lyon,HR,223,28,153,40,22,28,-0.09669900235317423,1.3461967851960135
2025-04-01,Paris,IT ,244,3,5,10,11,9,0.23566729909416484,0.9103347524552337
2023-07-01,Madrid,IT ,219,186,165,22,16,60,0.06452056956123847,0.009897564782687274
2023-08-01,Paris,IT ,208,164,171,32,107,4,0.267282313258139,0.8341081026011801
2025-11-01,BERLIN,Finance,258,10,194,30,141,68,-0.154712593258086,1.2037425019695762
2024-02-01,BERLIN,Finance,191,132,170,6,148,42,0.22986189418634922,0.4717345795808386
2024-05-01,Paris,HR,211,89,133,21,102,76,0.054457574167426914,1.3916272859586305
2025-12-01,Madrid,IT,151,86,77,4,54,22,-0.1814090650501061,1.4952287918998557
2023-04-01,PARIS,finance,266,198,191,36,38,33,0.12709477368612038,0.8238943505178987
2023-02-01,Lyon,Finance,159,-10,81,0,37,55,0.2194215102869133,0.7968616679224383
2023-06-01,Lyon,HR,193,197,79,5,145,39,0.11694372668286496,0.9827839722946637
2023-04-01,Paris,Operations,278,98,87,44,144,21,-0.1262720348366005,0.8495081967330956
2025-05-01,Madrid,IT ,243,71,12,46,49,68,0.28954547242440043,0.24068392379680364
2024-06-01,BERLIN,IT ,197,127,64,3,5,60,-0.00974910170899465,0.4066633158376174
2025-02-01,lyon,IT ,113,140,165,29,49,62,0.3528759210783076,0.3026831715433821
2025-10-01,PARIS,HR,269,7,63,29,148,44,0.34412527380576524,0.10818814877696181
2023-10-01,Paris,IT ,150,47,13,16,123,17,-0.07978253267801062,0.21058371662405484
2025-12-01,Lyon,Finance,123,115,144,59,143,75,0.08581922999841468,1.4584908350743848
2024-02-01,BERLIN,Operations,206,62,120,55,2,-8,-0.11758068565583006,0.8324704128613396
2025-07-01,Berlin,IT ,270,99,76,23,142,42,0.20664819368256104,0.1888551538641673
2024-03-01,Berlin,HR,172,194,12,30,75,31,0.31115016701506987,1.0696428756713345
2023-08-01,Madrid,Operations,246,41,72,27,73,-9,0.18902397642457247,0.7151818675998481
2024-02-01,Madrid,IT ,183,35,133,44,59,11,-0.04371509069269819,0.3370067982413875
2024-11-01,Paris,IT,160,96,5,42,54,14,-0.15421115312498881,1.4153555569742584
2024-09-01,lyon,IT ,205,2,120,3,89,78,-0.15844371420184827,0.3368147373419217
2024-04-01,Lyon,finance,193,85,93,38,50,21,0.16655684852275376,0.146384663486741
2024-06-01,Paris,Finance,162,6,164,18,122,-4,0.3719971619852768,0.30865916799773047
2024-12-01,lyon,Operations,253,56,56,23,116,51,0.21716690664986832,1.3678924976641713
2025-02-01,BERLIN,Finance,194,50,52,6,25,20,0.23837570027227972,1.286693708697926
2025-01-01,Madrid,IT,134,54,45,45,79,52,-0.002419798608772339,1.3414869348269152
2025-05-01,Berlin,IT,166,170,77,52,81,26,0.15162313378673753,1.3742683916413971
2024-03-01,PARIS,finance,155,122,131,47,120,57,-0.010040008191287114,0.11624800868649027
2023-01-01,BERLIN,Finance,139,149,33,52,75,68,0.34099944823336,1.0669981287127486
2025-01-01,Berlin,Operations,256,78,193,8,16,-2,-0.12049161098805065,0.9967818385079829
2023-07-01,Lyon,IT,233,162,190,21,50,59,0.17921469860442796,1.4893625684717986
2023-09-01,Lyon,IT,279,45,188,53,80,35,0.23850690138906716,1.0720113314082924
2024-12-01,Berlin,IT ,228,-6,41,1,117,23,0.21909406350339639,1.1880471176174652
2023-01-01,BERLIN,finance,279,90,77,26,105,49,-0.04560999788656411,1.0724797182702588
2023-08-01,Berlin,HR,123,76,63,15,2,2,0.09161904015192512,0.9308726818270305
2024-12-01,lyon,IT,201,193,144,4,56,25,0.1980080988653823,0.8295351303402692
2023-11-01,Paris,Operations,261,151,188,11,72,75,0.35856587934255585,1.4538906414154473
2024-05-01,Madrid,Operations,214,50,117,51,146,37,0.09979599121611349,1.4045130831577453
2023-08-01,lyon,IT ,234,197,29,25,16,64,-0.019694707142634188,0.6567752458288894
2025-11-01,PARIS,Operations,174,179,170,14,9,-5,0.03191256024771416,0.4262308124875235
2025-11-01,Berlin,IT ,110,58,92,2,144,-6,0.12479141686150991,0.7636040395402901
2025-09-01,PARIS,IT,135,52,6,8,25,54,0.38581528342465116,1.1191718833176254
2023-05-01,PARIS,IT,247,33,173,58,81,39,0.17699896397587161,0.6014215794062786
2025-04-01,lyon,IT,162,17,22,27,63,63,-0.10715830339626332,0.8058464251240156
2023-07-01,Madrid,IT,179,187,35,38,103,63,0.3058864529410172,0.44805886527814354
2023-09-01,BERLIN,HR,290,2,141,35,75,13,-0.09113168165032072,0.6415565525912466
2023-08-01,Lyon,finance,296,160,147,24,34,-4,-0.17675228062258003,1.4359430983585013
2023-12-01,Paris,finance,187,19,183,40,63,75,-0.13987402753394365,0.3222875537601091
2025-10-01,Lyon,HR,129,143,115,27,65,47,0.2716730605917225,1.4831016480787698
2025-09-01,Madrid,IT,257,198,80,46,58,10,0.3411374050528743,0.3233098250251773
2024-11-01,Lyon,Operations,202,52,159,54,2,75,-0.03907804785501173,0.47885397284665354
2024-12-01,Berlin,IT ,211,62,24,20,65,22,0.09886586246329315,0.13074747346324928
2025-11-01,Berlin,finance,183,46,114,28,80,33,0.15833380950989073,1.1281432333778585
2024-10-01,lyon,Finance,249,53,93,24,38,14,0.051214249643172005,0.026451728698686117
2025-03-01,PARIS,IT ,204,197,48,29,32,69,-0.1608055888093789,1.1817613547378625
2025-11-01,Madrid,Finance,288,166,184,38,111,4,-0.16600835679291148,0.8656999203068622
2023-01-01,Madrid,Finance,120,41,26,56,143,18,0.06420961843611811,1.123150690880446
2025-11-01,Lyon,IT,136,52,154,10,-2,72,0.278720590687435,1.174680696120984
2024-02-01,lyon,Finance,126,199,173,18,49,41,-0.14922215839682612,0.1865733711915425
2023-03-01,Lyon,IT,201,130,94,10,87,6,-0.07659457170082144,0.032087030163942154
2023-01-01,Lyon,HR,262,82,172,24,53,79,-0.038139276439546066,0.25314972279206116
2023-05-01,Madrid,Operations,137,96,153,0,88,25,0.1354756112347562,0.5761013195674962
2025-02-01,Lyon,Finance,159,98,13,31,61,24,-0.17408238462575612,0.10997466291060098
2024-02-01,PARIS,Operations,169,77,121,20,-1,29,0.3160256847129402,0.6851093561705645
2025-03-01,Lyon,IT,131,34,47,44,77,12,0.08243601914227006,0.42763405977902
2023-09-01,PARIS,Finance,179,97,127,12,66,62,0.09113950828439765,0.545752463713138
2024-03-01,Madrid,IT ,254,35,84,33,121,23,-0.004088596566474312,1.4105511236232484
2024-03-01,lyon,HR,230,66,91,16,31,47,-0.07279844200473576,1.0864060832146172
2025-02-01,Berlin,finance,276,158,14,50,21,71,0.018201459053836522,0.9872399811136459
2024-01-01,PARIS,HR,201,35,50,54,7,69,0.34804012741418927,0.9803478036572559
2025-08-01,lyon,Finance,201,118,53,46,128,50,-0.14346150216378858,0.8330714867247364
2025-08-01,lyon,HR,129,190,138,18,59,17,-0.16356284652935327,0.7694706532503115
2023-04-01,PARIS,finance,121,185,107,9,35,49,-0.13132915163746808,1.3232288293971948
2025-06-01,Madrid,IT ,118,81,74,41,9,21,0.266186520968409,0.11250289143548498
2024-11-01,Paris,Operations,130,1,27,58,127,47,-0.17095013070218743,0.432780015898126
2024-03-01,lyon,IT ,119,77,182,8,9,71,-0.00010085747084506713,0.15619070646272037
2025-05-01,lyon,HR,246,62,196,50,-5,33,0.054915421096528416,0.016579279583516238
2025-12-01,Madrid,finance,229,152,199,10,9,23,0.10426665835750704,0.02080060716766835
2024-01-01,Madrid,Operations,139,91,153,37,42,10,-0.19808044918308843,0.03601467180321738
2025-08-01,Lyon,finance,266,88,127,30,66,-10,0.09205919644726757,1.0226062886295963
2023-07-01,Madrid,IT ,190,150,69,1,111,44,-0.08304538135383044,0.1671074111383576
2024-10-01,lyon,IT,171,47,159,23,21,69,-0.1412737982479713,0.3036136240488618
2025-04-01,PARIS,IT,208,117,175,41,54,38,0.11997777014924732,0.6284761002045458
2023-02-01,Paris,Operations,281,106,95,46,60,10,0.24648951796614615,0.403875381574923
2023-06-01,BERLIN,Operations,126,24,139,4,46,44,0.36084972397976484,1.2250464533852963
2025-04-01,Lyon,Operations,178,163,197,49,75,16,0.3475957020944252,0.9351811301900497
2025-04-01,BERLIN,IT,239,73,102,29,29,9,0.03939797574396031,0.4999629066642872
2024-08-01,PARIS,IT ,177,55,188,38,115,5,0.2224346505261361,0.4766744223998629
2025-06-01,Paris,Operations,298,161,161,34,36,67,0.21737213125953897,1.0255405830140605
2023-11-01,Paris,IT,116,15,86,52,39,37,0.04726339640410712,0.25600495298461573
2025-04-01,Paris,Operations,183,31,104,58,46,21,-0.14107375807732916,0.42081853717677786
2025-01-01,Berlin,Operations,237,66,108,56,145,21,0.029205349170518424,0.5301506322988199
2025-09-01,PARIS,finance,246,19,80,47,23,42,0.3954147294662648,0.6819685391688416
2023-01-01,Lyon,Operations,257,105,44,16,51,42,0.13302080816755463,0.28579773352890836
2025-03-01,Lyon,IT,257,149,111,30,13,-9,0.004834603726094844,0.23584949967045155
2024-01-01,Paris,IT ,252,25,59,1,2,46,0.2462888661183552,1.4849401237746123
2023-03-01,PARIS,IT,187,8,192,15,129,11,0.211795475205113,1.3697970370383354
2023-06-01,Berlin,IT,173,11,70,20,133,41,0.1472799472504498,0.7854273398923866
2023-08-01,Paris,Operations,226,54,12,29,60,70,0.18245956332798796,1.148325470260886
2025-03-01,Madrid,finance,293,46,77,51,77,70,0.15096274607062798,1.0110056633823126
2023-09-01,BERLIN,Finance,201,0,175,0,22,47,0.37376621907156177,0.11267149023019812
2025-09-01,Lyon,Finance,195,15,124,13,83,23,0.10548035943215611,0.7768461606726282
2024-12-01,BERLIN,Finance,262,165,176,15,69,60,0.15411454778285927,0.27587912182776936
2024-03-01,lyon,IT,150,8,97,54,34,6,0.08299296870951778,0.8760874717299105
2025-08-01,Paris,Operations,200,72,90,8,124,77,0.16013334487315856,0.0926872152960383
2025-08-01,Madrid,Finance,170,129,185,48,70,61,0.3344961442585774,0.24436312995979248
2024-12-01,Lyon,HR,170,56,88,7,70,12,0.0038527403339529698,1.1725767756504557
2023-12-01,BERLIN,HR,254,45,98,8,108,22,0.09754172148555978,1.264871095853334
2023-02-01,Berlin,HR,109,7,72,33,147,18,0.06916657330541948,1.3611909113085898
2023-03-01,PARIS,IT ,196,102,69,44,89,8,0.038786368967902496,1.3450898208889943
2024-05-01,Lyon,Operations,270,-6,188,32,48,58,0.29262234311435936,1.3605434223551947
2023-02-01,BERLIN,IT,282,101,153,21,139,26,-0.06083290317884252,0.1420634840750985
2023-02-01,PARIS,IT,298,141,38,29,134,76,0.09995080033759113,0.98923296777144
2025-04-01,BERLIN,Operations,233,195,185,6,-4,15,0.3547806480873685,1.0515806289057372
2024-11-01,PARIS,finance,105,104,26,17,74,13,-0.10324710590989236,0.4022925530241435
2025-08-01,Berlin,finance,176,155,39,20,59,43,-0.1972133080972096,1.489396132871351
2025-09-01,Berlin,IT ,275,56,122,4,46,10,-0.040865860434495554,0.4287428110150494
2023-01-01,Paris,Operations,176,59,30,6,28,79,0.35338681594924487,0.8623318630482635
2024-07-01,Paris,finance,101,193,130,11,39,-1,-0.1474253158378968,1.3085331335000794
2023-02-01,Lyon,IT ,150,41,14,58,123,31,-0.11775534725269662,0.43377917096547636
2025-02-01,Berlin,Finance,288,192,181,16,94,18,-0.007796166824990236,0.9097579793483126
2025-08-01,Madrid,Finance,246,116,69,57,46,46,0.2618221788409516,1.0800220109796457
2023-06-01,BERLIN,IT ,220,156,10,23,61,24,0.2507684555861673,0.9400659417250237
2025-08-01,BERLIN,Operations,227,176,29,36,92,17,-0.14775782864660253,0.6089473674034548
2023-04-01,BERLIN,Finance,101,143,34,43,70,1,0.360305376421914,1.417132325090428
2023-11-01,Lyon,Operations,150,54,111,18,50,47,-0.05670871406180872,0.9184649394951001
2024-05-01,BERLIN,finance,253,69,42,44,103,33,-0.03161792879339764,0.3365403710103143
2024-12-01,lyon,Finance,169,165,188,15,44,-4,0.03185062715497275,1.2091938687890522
2023-05-01,PARIS,finance,119,102,167,24,95,5,0.18069565737182974,0.9838175513267138
2025-10-01,BERLIN,Operations,122,100,92,26,113,73,0.11278567112868748,0.16427280260160165
2023-06-01,PARIS,Operations,153,42,169,50,147,24,0.3571689405296104,0.4172131707093305
2024-10-01,Paris,HR,242,126,169,54,134,-4,0.13877239341238956,0.23720697649593148
2023-11-01,BERLIN,IT ,233,122,118,41,109,75,0.3142222193453847,0.10900955794177752
2024-04-01,Madrid,IT,262,105,2,43,67,3,-0.15307772007364193,0.3452996286628366
2025-09-01,Berlin,IT ,235,61,89,6,50,48,0.3135411780522362,0.41720745982771223
2023-09-01,Berlin,Operations,156,178,77,45,44,51,-0.08137210893820528,0.699787749112163
2023-06-01,Paris,Operations,277,10,82,41,-3,63,0.01753281741407256,1.453894501536545
2024-04-01,lyon,IT ,276,92,84,59,58,55,-0.008068019144686633,1.414903175220232
2025-05-01,Lyon,Operations,214,96,123,7,48,11,0.002368916627728812,1.1305247834673673
2023-03-01,Lyon,finance,248,52,148,14,30,5,0.35120866111431487,0.9697671552838832
2024-08-01,Madrid,Finance,222,137,76,57,38,64,0.06495623350821478,1.4209090038580148
2025-12-01,Paris,Operations,135,175,104,15,113,32,-0.03921906187617036,0.21367080403813116
2024-07-01,Paris,IT ,170,162,52,7,87,72,-0.02335879808204397,0.4954957925342699
2025-02-01,lyon,IT ,168,139,43,35,135,9,0.28200187233254026,0.8299907984755035
2023-03-01,BERLIN,IT ,157,66,45,31,126,-1,0.1234685813361644,1.22090125327699
2024-07-01,Lyon,HR,162,64,36,16,64,8,0.06969827144594026,0.9356799527206916
2024-08-01,BERLIN,finance,115,199,37,35,96,1,0.3560883314080719,1.213303781941145
2025-08-01,Paris,finance,233,180,108,21,5,-1,0.35800462037453956,0.22961257952919933
2023-07-01,BERLIN,HR,177,147,108,31,104,60,0.2536709460191342,0.2891022710956803
2025-09-01,Berlin,finance,221,52,87,57,55,45,0.11080390838473858,1.1108478414188265
2024-06-01,Madrid,HR,279,161,165,10,126,0,-0.13003301596154976,0.5224733283644873
2023-01-01,Lyon,finance,101,56,10,44,149,69,0.22476990096783422,0.6541415881723458
2023-11-01,lyon,HR,213,175,92,5,10,50,0.28906739869455633,1.1874968050699533
2025-04-01,Madrid,HR,213,182,172,21,1,27,0.31122500041386564,0.1050543305119368
2025-01-01,PARIS,finance,223,25,63,13,5,6,0.14911916501161188,0.2519692418724383
2024-11-01,Berlin,HR,245,123,171,27,58,43,0.17010345454995557,0.44371621941137857
2025-07-01,lyon,finance,262,26,125,38,122,34,0.2255745649543095,1.3252402045243488
2025-06-01,Madrid,HR,185,82,111,11,0,14,0.32435732483910645,0.607321310162191
2025-11-01,Paris,IT ,266,64,104,26,114,20,-0.1727456550318427,0.37816327400274946
2023-07-01,PARIS,IT,228,172,61,0,42,54,0.13793316736412686,1.017641052641961
2024-04-01,lyon,finance,264,194,60,9,63,28,0.021457718543487964,0.045435203282697734
2025-02-01,Paris,HR,120,192,89,32,115,9,0.29989553656409895,1.1626601467517852
2023-02-01,Berlin,IT ,100,176,11,15,0,62,-0.11971331503186093,1.0468390662782647
2023-01-01,PARIS,IT,231,155,136,38,79,32,0.3458208132317517,0.08262492280585515
2023-12-01,Lyon,HR,157,104,194,59,104,55,-0.12559603296713093,0.7470432711399866
2023-05-01,Paris,IT,100,142,73,51,22,-10,-0.1464039760277333,0.606225623250221
2025-08-01,Madrid,finance,240,196,106,5,103,44,0.007899516713590876,0.23720881823993795
2023-09-01,BERLIN,IT,273,66,129,53,127,40,0.3968345276124568,0.23106714610649365
2025-11-01,lyon,Finance,274,150,135,24,75,-6,0.18028163293116828,0.24029731863000248
2024-07-01,PARIS,Operations,106,2,115,49,95,1,-0.18413685853599876,0.8994935766974261
2024-04-01,Paris,Finance,150,27,42,19,52,3,-0.050441336289118094,0.2566599769662292
2023-03-01,Lyon,finance,102,175,145,35,18,49,-0.11050076856248844,0.08939390993242724
2024-08-01,BERLIN,finance,277,137,179,22,62,29,-0.19939745534777553,1.4363654832380748
2024-12-01,lyon,IT,253,6,38,15,101,-2,0.10896446260801423,0.05875763231492476
2025-09-01,lyon,IT ,130,112,30,0,4,31,0.02866460254955988,0.9958440724229043
2024-12-01,Paris,HR,199,103,141,52,143,31,0.16796814540335597,1.404049385529823
2023-11-01,Lyon,Operations,161,141,63,29,15,22,-0.0701814614056159,0.05690299964352763
2023-08-01,Berlin,HR,253,15,102,26,118,14,0.2986318519505142,1.44859782302883
2025-12-01,BERLIN,IT ,294,157,96,51,107,67,0.029897893707437506,0.7535086616755551
2024-08-01,Berlin,finance,207,21,43,1,91,-2,0.08974281803181894,1.177627825874734
2025-11-01,PARIS,Operations,154,195,187,47,132,33,0.23949156337369532,0.9376828829874403
2025-01-01,Paris,Finance,255,154,96,20,76,72,-0.10030092629223077,0.9252704719934783
2025-11-01,BERLIN,finance,143,75,1,8,91,47,-0.0425939714307913,1.1831377863201065
2025-01-01,PARIS,finance,180,87,159,46,87,14,-0.1071488024821576,0.09816003418965236
2025-05-01,Berlin,IT,265,80,35,23,89,21,0.2608489677353761,0.5885848187276109
2024-06-01,BERLIN,IT ,129,110,54,47,18,11,-0.14148691134189045,1.4543521427803987
2024-06-01,lyon,IT,165,177,113,40,118,44,0.09340177747689571,0.08188092089892612
2023-02-01,PARIS,IT,235,46,86,38,134,50,0.24994578260345807,0.39419370732659254
2025-11-01,Lyon,HR,113,96,190,41,142,46,0.10465710175796356,1.0081604145653293
2024-04-01,Madrid,finance,200,175,68,6,130,66,0.10520613756021713,0.15065343243452584
2025-12-01,Berlin,IT ,205,184,110,29,72,50,-0.1617951512986625,0.8050103543697433
2025-09-01,Berlin,IT,202,11,79,44,127,56,0.26971672741390196,1.0700556289405643
2023-04-01,Lyon,Finance,161,175,39,1,48,64,0.16240461369096182,1.1361305697825428
2025-09-01,BERLIN,Operations,174,101,23,11,30,-9,0.2005078368307961,0.8417843896846959
2024-02-01,BERLIN,IT ,290,74,116,12,106,46,0.2594797497488886,0.7509454636548464
2024-09-01,BERLIN,HR,178,69,185,2,125,62,0.136370681122244,1.0708330943472741
2024-08-01,PARIS,IT ,293,62,103,42,16,22,0.10517379775497698,0.21758942357975392
2023-08-01,Paris,finance,206,66,155,57,2,79,0.1978991443820105,1.0207768799213466
2023-07-01,lyon,HR,195,63,61,39,120,52,0.34000490169358016,1.3788679922787397
2023-03-01,Madrid,Operations,139,116,152,42,72,5,0.18309833785361768,1.0241296048441926
2024-05-01,Paris,Finance,240,166,6,17,1,78,0.2729930504530654,0.06975545336709654
2025-09-01,Paris,IT,206,110,37,38,62,-10,0.0881630511148272,0.7589792732088922
2023-12-01,Lyon,IT ,116,74,198,43,56,74,0.1537431642988626,1.0894129319758412
2024-10-01,PARIS,HR,114,166,118,5,141,53,-0.09191021358036111,0.06486632369904766
2024-10-01,Berlin,Operations,260,159,85,59,101,73,0.09311082755615918,1.1432974054750829
2025-06-01,Berlin,IT,115,157,85,41,18,58,-0.11066604981707108,0.4224042094895429
2023-08-01,Lyon,Operations,112,188,90,51,128,6,0.08021286770088931,0.8831597861044653
2025-03-01,PARIS,Finance,250,163,120,26,130,29,-0.16102898981168423,1.4495153090985384
2025-03-01,Lyon,IT,135,139,96,14,147,-10,0.14572442622869425,1.492394227410063
2025-10-01,Berlin,IT,142,71,172,51,83,2,-0.027958731632052813,0.9516115458940069
2024-09-01,Paris,IT,277,10,159,14,101,7,0.3049863062734987,0.7372255884248826
2025-06-01,lyon,HR,213,168,102,18,35,57,0.025758237066090012,0.26653845778038837
2025-09-01,BERLIN,IT,173,131,159,37,104,3,0.3506639506048292,0.31250061654411965
2025-04-01,PARIS,Operations,180,63,0,50,125,-6,0.08373258285907803,0.6438000187338372
2025-09-01,Madrid,HR,193,-2,44,46,3,51,0.30932381003412995,1.0534295054148224
2023-05-01,Madrid,IT,240,135,63,56,76,22,-0.021637120846391328,1.1539546748366165
2024-07-01,Paris,Operations,129,2,195,19,88,15,0.07096127084459963,0.33286256784616625
2023-04-01,Lyon,Operations,284,6,134,19,127,50,0.18019931064743172,0.8031251619837816
2025-11-01,Lyon,IT ,129,115,165,17,110,57,-0.044809465990140296,0.8874075966522066
2024-05-01,Berlin,Operations,298,76,69,33,21,19,0.19439699588618747,1.3396170299506895
2025-04-01,Paris,finance,109,142,180,38,146,51,-0.026838583455124077,1.3146323426460234
2025-06-01,Berlin,Finance,198,171,74,36,138,51,0.09057560382219138,1.2260778020095393
2025-05-01,Berlin,IT,293,5,72,34,137,70,-0.1859781186293461,0.774992235093682
2023-06-01,Madrid,IT,193,13,157,37,19,59,-0.15309060668972563,0.09762473057146742
2025-11-01,Berlin,IT,138,64,149,37,-2,46,-0.06373928511813332,0.5017102237319149
2024-12-01,BERLIN,Operations,136,140,185,0,26,25,0.28389580159610844,0.9325807217029431
2025-05-01,Berlin,Operations,230,158,72,50,29,-4,0.1962305160709618,0.9564107984435795
2025-07-01,Madrid,IT,188,92,54,11,24,54,0.33606887623856757,1.273609480200962
2025-11-01,BERLIN,finance,261,75,45,4,97,63,0.3428265523384993,0.5690909490952906
2025-09-01,Lyon,HR,265,150,96,58,106,66,0.024802841203754644,1.4049332039820146
2024-09-01,PARIS,HR,113,94,153,26,43,30,0.02051854370526185,0.24485290198138204
2025-08-01,lyon,Finance,291,31,191,38,88,21,0.30144582975924944,0.07479874767132899
2024-11-01,Berlin,IT ,138,165,136,19,77,3,0.05586596204108213,0.26503666811986926
2025-09-01,BERLIN,Finance,281,7,14,59,124,22,0.3143207829149662,0.6934847263924525
2023-03-01,PARIS,IT,229,180,146,39,23,19,0.10355790157237832,1.234362726942214
2024-06-01,Madrid,IT,142,67,143,18,112,62,0.054827874541001076,0.23075451147112258
2025-01-01,PARIS,IT,280,81,24,37,16,-5,-0.03255806133048225,0.8222796900883593
2025-07-01,lyon,IT ,230,0,98,14,96,-1,-0.12410789332617664,1.1648871126402478
2023-03-01,PARIS,Operations,268,141,178,5,13,64,0.11554138448675921,0.05229242377976023
2024-12-01,BERLIN,IT ,107,178,76,8,61,9,-0.004864930825493746,0.062280053810858604
2025-08-01,PARIS,Finance,195,181,173,35,80,78,-0.05033586680875082,0.7358867815575123
2024-10-01,PARIS,Operations,290,153,6,47,12,1,-0.09820390022895609,0.2739694192052956
2024-11-01,PARIS,Operations,164,115,33,22,103,11,0.0331732727026432,0.6758534934121632
2023-02-01,Paris,Finance,178,194,57,9,107,65,0.13352365692652762,0.06590323475247928
2025-03-01,Berlin,Operations,231,86,77,0,127,3,0.30221557847424113,1.4653059754125737
2023-02-01,Madrid,HR,167,42,22,10,133,37,0.2921140021231562,0.9812832814259164
2025-02-01,lyon,Finance,191,72,150,48,52,43,0.31303805270546387,1.030043998024137
2024-05-01,Madrid,Finance,109,36,144,49,12,25,0.14574016937745704,0.7645930458085008
2025-09-01,Paris,HR,174,41,140,19,66,50,0.13572995627877538,1.2373652712282104
2023-09-01,Paris,IT ,277,196,121,27,87,44,0.3430850016706483,1.2501116774967072
2025-05-01,BERLIN,IT ,250,46,26,21,144,3,-0.02687185256203664,0.23863600720382178
2025-02-01,Paris,IT ,160,64,65,19,50,-9,-0.11272966873749292,1.1525930480506092
2025-11-01,Berlin,Operations,146,140,100,46,17,-9,-0.15033513664569986,0.8500122478480254
2025-01-01,Paris,HR,102,48,157,37,10,50,0.3286267801058003,1.1435776072874375
2024-12-01,PARIS,Finance,202,58,131,15,38,-5,0.023063929515597492,1.378049327054453
2024-01-01,Madrid,Finance,116,173,93,1,66,14,0.09923576186069333,0.5026442600504766
2023-07-01,Lyon,Finance,121,75,66,24,8,56,0.2818360277230787,0.8563673117965253
2025-12-01,lyon,Operations,215,159,141,26,131,12,0.023900826921036122,1.1812243675404583
2024-08-01,Paris,Operations,190,135,10,2,69,62,0.32077285035624453,1.4801528878548849
2023-01-01,Madrid,finance,243,60,39,22,102,17,-0.006981278181939887,0.9188644144619127
2023-08-01,BERLIN,IT ,203,22,130,31,138,14,0.23942933580263326,1.08184201858254
